Tabella 1
Fabio;META;Ris;Bibtex;citeproc;schemaOrg;resourceTypeGeneral;Dublin Core;PubMed
;doco:abstract: A brief summary of a book, a research article, thesis, review, conference proceeding or any in-depth analysis of a particular subject or discipline, the purpose of which is to help the reader quickly ascertain the publication's purpose.;ABST (abstract reference) ;;;;;;"English Abstract: Identifier for English language abstracts provided with non-English language works.
"
;deo:Acknowledgements: Usually part of the preface, or a separate section in its own right, often as part of the back matter, it acknowledges those, including funding agencies, who contributed to the undertaking of a research project described in a publication, or to the creation of the work in some way. In scientific articles, the acknowledgements are usually placed as a separated section immediately following the Discussion or Conclusions.;;;;;;;Research Support, U.S. Gov't, Non-P.H.S.: Acknowledgment that funding support is from any US government agency other than the Public Health Service, such as the National Science Foundation, NASA, Department of Energy, etc. Research Support, U.S. Gov't, P.H.S.: Acknowledgement that funding support is from any component of the Public Health Service. Research Support, N.I.H., Extramural: A designation for publications of research resulting from extramural research funded by the National Institutes of Health. Research Support, N.I.H., Intramural: A designation for publications of research resulting from intramural research at the National Institutes of Health. Research Support, Non-U.S. Gov’t: Acknowledgement that funding support is from any non-US government agency, for example state and local governments, foreign governments, and private organizations. Research Support, American Recovery and Reinvestment Act: Acknowledgement that funding support is from the American Recovery and Reinvestment Act.
Fabio:Retraction;Fabio:Retraction A formal statement retracting a statement or publication. A retraction is a public statement made about an earlier statement that withdraws, cancels, refutes, diametrically reverses the original statement or ceases and desists from publishing the original statement.;;;;;;;"Retraction of Publication: Work consisting of a statement issued by one or more authors of an article or a book, withdrawing or disavowing acknowledgment of their participation in performing research or writing the results of their study. In indexing, the retraction is sent to the editor of the publication in which the article appeared and is published under the rubric ""retraction"" or in the form of a letter. This publication type designates the author's statement of retraction: it should be differentiated from RETRACTED PUBLICATION which labels the retracted publication."
"fabio:NewspaperArticle An article written by a journalist and published in a newspaper.

";Newspaper Article;NEWS (newspaper) ;;;;;;"Newspaper Article: Work consisting of a news item appearing in a general-interest newspaper or other general news periodical, containing information of current and timely interest in the field of medicine or science. This publication type should not be confused with NEWS Publication Type, reserved for news reports published in various medical or other scientific journals, such as ""Nature""."
fabio:presentation: A set of slides containing text, tables or figures, designed to communicate ideas or research results, for projection and viewing by an audience at a conference, symposium, seminar, lecture, workshop or other gatherings, typically embodied in a particular manifestation format such as a SlideShare or PowerPoint slideshow.;fabio:presentation;SLIDE (slide) ;;;;;;
fabio:Expression. A subclass of FRBR expression, restricted to expressions of fabio:Works. For your latest research paper, the preprint submitted to the publisher, and the final published version to which the publisher assigned a unique digital object identifier, are both expressions of the same work.;Bibliographic resource;;;;;;;
fabio:ArchivalDocument. An archival document is a realization of the content related to an archival record. It can be exemplified as a book, a document, a letter, a database, etc.;Archival document: An archival document is a realization of the content related to an archival record. It can be exemplified as a book, a document, a letter, a database, etc.;;;;;;;Directory: Work consisting of an alphabetical or classified list of names, organizations, subjects, etc., giving usually titles, addresses, affiliations, and other professional data.
book : A non-serial document that is complete in one volume or a designated finite number of volumes. A book published by a publisher is usually identified by an International Standard Book Number (ISBN), and may be manifested as a physical printed publication on paper bound in a hard or soft cover, or in electronic format as an 'e-book'.;book : A non-serial document that is complete in one volume or a designated finite number of volumes. A book published by a publisher is usually identified by an International Standard Book Number (ISBN), and may be manifested as a physical printed publication on paper bound in a hard or soft cover, or in electronic format as an 'e-book'.;BOOK √ (whole book reference) ;book √ : A book with an explicit publisher. booklet : A work that is printed and bound, but without a named publisher or sponsoring institution.;"book √ A book or similar work; Can be an authored book or an edited collection of self-contained chapters; Can be a physical book or an ebook; The format for an ebook may be specified using medium; Can be a single-volume work, a multivolume work, or one volume of a multivolume work; If a container-title is present, the item is interpreted as a book republished in a collection or anthology; Also used for whole conference proceedings volumes or exhibition catalogs by specifying event and related variables";"""Book"" √(Thing > CreativeWork > Book)";Book: medium for recording information in the form of writing or images, typically composed of many pages bound together and protected by a cover;Text;
"dataset(or data file) : A collection of related facts, often expressed in numerical form and encoded in a defined structure. fabio:DataFile 
";dataset(or data file) : A collection of related facts, often expressed in numerical form and encoded in a defined structure. ;DATA √ (data file);;Dataset √: A data set or a similar collection of (mostly) raw data;"""Dataset"" √ (Thing > CreativeWork > Dataset)";Dataset. Data encoded in a defined structure;Dataset;Dataset: Works consisting of organized collections of data, which have been stored permanently in a formalized manner suitable for communication, interpretation, or processing.
Thesis: A book authored by a student containing a formal presentations of research outputs submitted for examination in completion of a course of study at an institution of higher education, to fulfil the requirements for an academic degree. Also know as a dissertation. [For the alternative meaning of the word 'thesis', namely the formulation of a concept, hypothesis, idea, point of view or theory presented for review and/or discussion, use fabio:Proposition.];dissertation : A book authored by a student containing a formal presentations of research outputs submitted for examination in completion of a course of study at an institution of higher education, to fulfil the requirements for an academic degree. Also know as a dissertation. [For the alternative meaning of the word 'thesis', namely the formulation of a concept, hypothesis, idea, point of view or theory presented for review and/or discussion, use fabio:Proposition.] (Crossref : includes single dissertations and theses, but not collections.);THES √ (thesis/dissertation) ;mastersthesis : A master's thesis. // phdthesis : A Ph.D. thesis.;"thesis√ A thesis written to satisfy requirements for a degree; Use genre to specify the type of thesis";" “Thesis"" √ (Thing > CreativeWork > Thesis)";Dissertation. A written essay, treatise, or thesis, especially one written by a candidate for the degree of Doctor of Philosophy;;
